Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Memphis Grizzlies,4,0,4,0,48,100.5,36,86.8,41.5,10.5,34.5,30.4,18,20.5,87.8,10.3,34,44.3,20.5,19.3,5.8,6.5,6.8,20.8,18.8,-19.5
Miami Heat,4,0,4,0,48,95.5,36.3,81.5,44.5,13.8,39.8,34.6,9.3,13.3,69.8,10,27.3,37.3,21.3,16,4.5,3,3,17.3,13.3,-30.5
Boston Celtics,19,16,3,0.842,48.3,108.8,39.3,83.8,46.9,14.5,40.2,36,15.7,19.3,81.2,9.7,33.4,43.1,23.8,11.5,6.3,5.4,2.2,15.7,18,8.1
Oklahoma City Thunder,10,6,4,0.6,48,105.7,39.4,85.8,45.9,12.1,34,35.6,14.8,18.5,80,8.7,32.8,41.5,23.1,11.2,7.8,6.2,5.6,17.7,19.6,6.3
Dallas Mavericks,22,13,9,0.591,48,106,38.9,83,46.8,11.9,33.1,36,16.3,22.7,71.9,10.9,32.2,43.1,21.1,12.5,6.3,5.3,4.9,19,19.7,2.6
Denver Nuggets,12,7,5,0.583,48,102.2,38.9,85.2,45.7,10.5,31.6,33.2,13.8,16.7,83,9.9,32.6,42.5,24.9,12,6.4,4.3,5.1,18,18.3,-2.1
Minnesota Timberwolves,16,9,7,0.563,48,107.5,38.8,82.9,46.8,11.7,32.6,35.9,18.3,23.6,77.5,10.6,31.8,42.4,23.9,12.2,7.3,4.6,5.1,20.8,20,4.2
New York Knicks,13,7,6,0.538,48.4,109.9,39.8,87.8,45.3,11.9,31.8,37.5,18.5,24.4,75.7,13.5,29.4,42.8,22.5,11.2,5.7,5.4,6.3,17.8,21.2,-2.1
Indiana Pacers,17,8,9,0.471,48.6,113.9,44.8,88.4,50.7,12.2,32.9,37.2,12.1,16.2,74.6,10.3,31.1,41.4,29.9,12,5.5,4.8,4.2,20.5,17.4,1.1
Orlando Magic,7,3,4,0.429,48,100.3,35.3,84,42,10.3,33.3,30.9,19.4,25.1,77.3,12,33,45,19.3,14.4,8,5.1,6,21.6,21.7,4.4
Cleveland Cavaliers,12,5,7,0.417,48,98.1,37.4,83.4,44.9,10.3,32.8,31.5,12.9,17,76,7.7,31.1,38.8,21.3,12.2,6.7,4.6,5,19.8,18.3,-5.6
LA Clippers,6,2,4,0.333,48,100.3,35.7,82.2,43.4,11.8,31.7,37.4,17.2,21.7,79.2,11.2,30.8,42,20.2,13.5,6.2,3.2,6.3,22.8,20.2,-6.7
Milwaukee Bucks,6,2,4,0.333,48.8,110.2,40.8,86.3,47.3,11.2,31.5,35.4,17.3,21.2,81.9,9.5,33.2,42.7,22.2,10.7,5.3,3.2,4.5,18.7,19.3,-2.8
Philadelphia 76ers,6,2,4,0.333,48.8,108.2,37,83.3,44.4,13.5,35.7,37.9,20.7,24.7,83.8,10.7,30.5,41.2,23,11.8,5.5,6.3,7.2,21.5,19.2,-0.2
Los Angeles Lakers,5,1,4,0.2,48,106.4,41.6,84.6,49.2,8.8,29.4,29.9,14.4,18.8,76.6,7.4,33.2,40.6,24.4,11,6,4,3.2,16.6,16.4,-2.2
Miami Heat,5,1,4,0.2,48,92.2,35.6,81.2,43.8,11.2,34,32.9,9.8,12,81.7,5.6,30.6,36.2,21.2,11.6,4.6,1.4,5.2,16.8,15.6,-15.6
New Orleans Pelicans,4,0,4,0,48,89.5,33.5,84.5,39.6,8.8,32.8,26.7,13.8,16,85.9,12.3,33.3,45.5,19.5,18,8.8,4.5,5.3,20,16,-15.8
Phoenix Suns,4,0,4,0,48,103.3,35.3,75.8,46.5,9.5,26,36.5,23.3,28,83,7.3,25.3,32.5,19.8,14.3,7.5,4.3,2.8,23.3,24.3,-15
Denver Nuggets,20,16,4,0.8,48.3,113.5,42.3,86,49.2,11.3,30,37.5,17.7,22.1,80.1,10.1,34.7,44.8,25.8,11.6,6.9,4.2,4.7,19.3,21,8.3
Philadelphia 76ers,11,7,4,0.636,48.5,102.5,36.7,84,43.7,12.2,33.9,35.9,16.9,19.1,88.6,10,33,43,19.1,12.4,7.6,5.3,5.5,18.7,16,-1.5
Miami Heat,23,13,10,0.565,48.2,108.3,39.7,86.8,45.8,12.8,33.7,38,16.1,19.8,81.3,9.2,31,40.3,23.6,11.7,7,3.6,4.7,20.1,18.7,1.5
Boston Celtics,20,11,9,0.55,48.3,112,40.9,85.5,47.8,14.1,38.7,36.4,16.2,20,81,9.5,33.6,43.1,24.2,12.4,6,6.4,4.7,17.2,17.7,3.4
New York Knicks,11,6,5,0.545,48,100.1,35.3,81.5,43.3,9.5,32.7,29.2,20,26.8,74.6,12.9,32.5,45.4,18.7,14.6,7,4.5,3.8,19.5,21.6,0.4
Phoenix Suns,11,6,5,0.545,48,114.2,43.1,86.8,49.6,9.4,25.8,36.3,18.6,23.4,79.8,9.2,30.8,40,24.5,12.1,6.3,5.6,4,22,20.8,-2.3
Los Angeles Lakers,16,8,8,0.5,48.3,112.3,41.1,87.1,47.1,10.1,30.3,33.5,20.1,24.8,80.9,9.1,35.6,44.6,24.9,11.9,6.8,6.4,3.8,17.4,21.3,2.4
Golden State Warriors,13,6,7,0.462,48,113.1,41.9,93.6,44.8,14.5,42.5,34,14.8,19.7,75,12.5,34.5,47.1,28.2,14.4,7.2,4.6,4.6,22.9,19.6,-0.2
Sacramento Kings,7,3,4,0.429,48,113.7,41,95.6,42.9,12.1,39.7,30.6,19.6,25.7,76.1,14,33.7,47.7,22,14.1,7.7,4.3,5.6,22.6,22.7,-2.1
Atlanta Hawks,6,2,4,0.333,48,115.8,44,96.3,45.7,14,37.3,37.5,13.8,17,81.4,12.2,31.7,43.8,24.5,12.8,7.7,4.8,7.2,16.3,16.5,-5.3
Memphis Grizzlies,6,2,4,0.333,48.8,104.7,38.3,95.3,40.2,12,38.5,31.2,16,19.2,83.5,13.2,33.3,46.5,23.3,13,6.7,3.5,9.2,20.5,17.5,-7.5
Cleveland Cavaliers,5,1,4,0.2,48,94.2,35.2,78.4,44.9,10,30.6,32.7,13.8,18.6,74.2,9.2,28,37.2,22,15.8,6.8,4,4.6,20.4,17.4,-5.4
LA Clippers,5,1,4,0.2,48,115.6,40.8,88.6,46,12.2,33.8,36.1,21.8,26.4,82.6,11.8,28.2,40,21.6,14,6.6,4.2,6.2,23,21.2,-6.4
Milwaukee Bucks,5,1,4,0.2,49,118.8,44,92.6,47.5,15.6,41.2,37.9,15.2,21.4,71,10.2,34.2,44.4,26.8,14.4,6.6,3.6,3.4,18.8,20.4,-5.2
Minnesota Timberwolves,5,1,4,0.2,49,105.4,37.8,82.6,45.8,11.2,32.2,34.8,18.6,24.2,76.9,8.4,30.8,39.2,22.6,12.8,6.6,4.8,3.4,21.6,23,-8.8
Brooklyn Nets,4,0,4,0,48,92.5,34,77.3,44,11.3,34.5,32.6,13.3,18.3,72.6,5.8,29.3,35,22.3,12.3,5.3,3.8,4,15.5,18.8,-11.3
Golden State Warriors,22,16,6,0.727,48,111.9,41.4,86.1,48,14,37.3,37.5,15.1,19.8,76.6,9.8,34.1,43.9,27,14.5,7.7,5,4.9,21.5,19.3,5
Miami Heat,18,11,7,0.611,48,104.2,38,85.3,44.5,10.9,34.8,31.3,17.3,21.6,80.4,9.8,31.2,41.1,21.9,12.9,8.3,3.7,4.6,21.4,21.4,3.8
Boston Celtics,24,14,10,0.583,48,105.5,36.7,81.8,44.9,13.7,36.6,37.3,18.5,23.2,79.7,9,33.9,42.9,24.5,14.7,6.4,6.3,4.7,20.7,21.7,3.6
Milwaukee Bucks,12,7,5,0.583,48,102.8,38.5,88,43.8,10.6,32.3,32.7,15.2,20.8,73.1,9.8,40.7,50.4,20.8,13.8,6.3,4.5,5.5,19.1,20.1,1.5
Phoenix Suns,13,7,6,0.538,48,107.6,41.2,82.8,49.7,9.8,27.2,36.3,15.5,18.9,81.7,9.5,30.7,40.2,25.7,13.3,6.6,3.8,3,22.5,21.2,-1
Dallas Mavericks,18,9,9,0.5,48,106.3,36.3,80.8,44.9,15.8,41.5,38,18,23.3,77.1,6.5,30,36.5,19.2,10.2,7.2,2.8,3.6,21.1,22.1,0.7
Memphis Grizzlies,12,6,6,0.5,48,112.5,39.8,91.3,43.5,13.1,35.8,36.5,19.9,27.1,73.5,12.4,33.4,45.8,25.2,14,9.2,6.1,6.8,20.8,23.8,2.4
Philadelphia 76ers,12,6,6,0.5,48.4,104.5,36.4,78.3,46.5,12.4,33.3,37.3,19.3,22.7,84.9,7.7,31.3,39,21.8,14.8,6.1,4.3,4.2,20.6,20.5,0.3
Minnesota Timberwolves,6,2,4,0.333,48,109.2,36.3,82,44.3,13.8,35.7,38.8,22.7,28,81,7,33,40,22.8,17.7,8.2,7.8,6.2,26.8,23.2,-5.5
New Orleans Pelicans,6,2,4,0.333,48,109.8,39,84.3,46.2,9.3,26.3,35.4,22.5,28.8,78,15.2,30.5,45.7,21.3,14.5,6.3,3.5,4,21.2,22.7,-1.5
Toronto Raptors,6,2,4,0.333,48.8,103.2,38.3,86,44.6,9.8,32.8,29.9,16.7,21,79.4,10,27.5,37.5,20.7,10,6.7,4.8,4.8,22.2,20.3,-8.3
Utah Jazz,6,2,4,0.333,48,99,35,79,44.3,8.2,29.8,27.4,20.8,26.5,78.6,9.3,35.5,44.8,17.2,11.7,4,3.7,2.3,22,23.2,-5.7
Atlanta Hawks,5,1,4,0.2,48,97.4,34.4,78.2,44,11.4,35,32.6,17.2,22,78.2,8.6,30.8,39.4,18.6,16.4,5.8,2.4,3,21.6,23.4,-12
Chicago Bulls,5,1,4,0.2,48,95.2,36.4,90.2,40.4,10.4,36.8,28.3,12,14.4,83.3,8.2,35.8,44,23,13,7.8,3.2,4.8,18.6,17.8,-14.6
Denver Nuggets,5,1,4,0.2,48,110,39.4,82.8,47.6,11.2,31.4,35.7,20,25.2,79.4,11.2,30.6,41.8,25,16.4,7,3.4,6.2,25,23.2,-8
Brooklyn Nets,4,0,4,0,48,109,39.3,78,50.3,11.5,27.3,42.2,19,25.8,73.8,8.5,25.5,34,22.3,15.3,8,6.5,4,24.8,24.5,-4.5
Milwaukee Bucks,23,16,7,0.696,48.4,110.3,42.1,91.1,46.2,11.2,35,32.1,14.9,20.8,71.8,12.8,36.1,49,22.8,12.7,7.8,4.2,3.8,18,20.1,5.1
Phoenix Suns,22,14,8,0.636,48,109,40.9,85,48.1,11.2,29.7,37.6,16,18.6,86.1,8,34.7,42.7,23.2,11.9,6.5,4.2,3.6,19.7,18.5,4.5
Brooklyn Nets,12,7,5,0.583,48.4,112.5,40.7,86.2,47.2,13.6,35.6,38.2,17.6,20.3,86.8,8.3,34.3,42.6,22.6,11.6,7.1,4.8,6.2,21.2,18.6,6.3
Philadelphia 76ers,12,7,5,0.583,48,116.3,42.5,85.8,49.6,11.2,28.4,39.3,20.1,29.3,68.5,9,35.7,44.7,24.9,12.8,8,6.2,3.8,23,23.8,7.5
Atlanta Hawks,18,10,8,0.556,48,106.3,38.9,86.8,44.9,11.7,34.2,34.3,16.7,20.9,79.8,9.1,33.3,42.4,20.2,12.4,6.7,4.4,4.3,21.2,20.3,-1.5
Utah Jazz,11,6,5,0.545,48,116.9,39.7,84.2,47.2,18,43.6,41.3,19.5,24.3,80.1,9.4,33,42.4,19.6,13.5,5.2,4.1,4.3,21.5,21.1,-0.8
LA Clippers,19,10,9,0.526,48,111.6,39.1,81.9,47.7,13.8,36.4,38.1,19.5,23.7,82.3,8.8,32.4,41.2,20.8,10.7,6.8,4.3,2.7,19.5,21.3,4.1
Dallas Mavericks,7,3,4,0.429,48,106,39.1,86,45.5,13.6,35,38.8,14.1,20,70.7,10.3,30.3,40.6,20.7,11,5.6,2.1,5,20.3,20.6,-5.1
Denver Nuggets,10,4,6,0.4,49,114.8,42.1,92.2,45.7,14.7,38.5,38.2,15.9,20.9,76.1,11.7,31.9,43.6,24.9,11.2,6.1,4.3,4.9,20.4,20.3,-5.5
Los Angeles Lakers,6,2,4,0.333,48,97.5,34.3,83,41.4,9.8,32.8,29.9,19,24.5,77.6,10.5,32.7,43.2,19.3,13.8,6.7,4,5,20.5,21,-6.5
Portland Trail Blazers,6,2,4,0.333,49.7,119.5,42,88.3,47.5,16.2,39.2,41.3,19.3,22.7,85.3,9.3,32.3,41.7,22.8,11.8,5.2,5.5,4.5,23.2,20.2,-1.3
Boston Celtics,5,1,4,0.2,48,112.2,38.4,88.2,43.5,12.8,36.6,35,22.6,27.4,82.5,12.6,28.8,41.4,21,13,6.4,7,6.6,21,23.4,-11.2
Memphis Grizzlies,5,1,4,0.2,48,115,44.2,94.4,46.8,10.4,31.6,32.9,16.2,20.4,79.4,11.2,30,41.2,22,10.4,8,4,6.2,20.6,19.2,-8.4
New York Knicks,5,1,4,0.2,48,97,34.4,86.4,39.8,10.4,30.4,34.2,17.8,21.8,81.7,11.8,34.6,46.4,18.6,12.2,5.8,2.8,6.8,19.8,19,-7
Washington Wizards,5,1,4,0.2,48,110,40.6,88.6,45.8,7,24.2,28.9,21.8,29,75.2,10.6,32.8,43.4,22.4,13.4,4.8,4.8,7.2,24,23.8,-14
Miami Heat,4,0,4,0,49.3,98,35.3,89.3,39.5,12,35.8,33.6,15.5,20.3,76.5,9,33.3,42.3,21.5,14,7.3,3.5,3,20.5,20,-20.5
Los Angeles Lakers,21,16,5,0.762,48,112.8,41,84,48.9,12.1,34.2,35.4,18.6,24.6,75.8,10.6,33.5,44.1,25.6,15.4,8,5.3,3.1,22.7,22.4,6.9
Miami Heat,21,14,7,0.667,48.5,110,37.7,82,46,12.8,35.5,35.9,21.8,26.4,82.5,7.8,33.6,41.3,24.9,13.2,6.9,3.9,4.5,19.9,22.6,2
Toronto Raptors,11,7,4,0.636,48.9,109.4,39.1,88.5,44.2,14.6,40.3,36.3,16.5,21.3,77.8,8.2,36.5,44.6,24.8,13.1,7.1,5.5,5,22.5,20.3,4.1
Boston Celtics,17,10,7,0.588,48.9,109.4,38.6,84.9,45.4,12.4,36.4,34.1,19.8,24.2,81.6,8.8,36.5,45.2,22.6,13.9,6.7,4.8,4.8,22.3,22,5
LA Clippers,13,7,6,0.538,48.4,114,40.9,86.4,47.4,12.1,32.8,36.8,20.1,25.2,79.8,9.5,34.5,44,21.2,13,7.5,3.7,4.1,22.9,22.3,4.2
Milwaukee Bucks,10,5,5,0.5,48.5,111.1,40.1,87.1,46,13.3,37.1,35.8,17.6,24.3,72.4,9.4,37.3,46.7,24.3,14.9,7.2,4.2,3.6,21.7,21.2,1.2
Denver Nuggets,19,9,10,0.474,48.3,107.4,38.8,82.5,47.1,12.3,32.4,37.9,17.5,21.4,81.6,9.3,31.4,40.6,22.5,13.9,6.2,4,4,22.4,22.1,-2.3
Oklahoma City Thunder,7,3,4,0.429,48.7,104,36.7,85.4,43,12,36.6,32.8,18.6,24,77.4,9,40.9,49.9,17.9,17,5.3,4,3.9,17.1,23,-6.4
Utah Jazz,7,3,4,0.429,48.7,113.4,39.9,81.9,48.7,15.7,37.3,42.1,18,23.3,77.3,9.3,31.9,41.1,21.4,12,6.1,3.1,4.6,19,21.3,3.4
Houston Rockets,12,5,7,0.417,48.4,107.7,37.4,85.8,43.6,16.9,46.8,36.2,15.9,20.2,78.9,6.7,32.2,38.8,21.3,13.4,9.1,3.5,4.9,22.2,18.6,0.8
Dallas Mavericks,6,2,4,0.333,48.8,117,42.2,89.2,47.3,13.5,37.5,36,19.2,26.5,72.3,7.7,35.5,43.2,21.5,12.7,6.5,3.7,3.3,22.5,24.5,-9.7
Orlando Magic,5,1,4,0.2,48,107,37.2,88.6,42,15,39.8,37.7,17.6,21,83.8,6.6,36.4,43,23.8,14.6,6.8,3.2,3.8,21,20.6,-9.2
Portland Trail Blazers,5,1,4,0.2,48,106.6,37.6,88.2,42.6,11.6,30.6,37.9,19.8,25,79.2,9.8,33,42.8,17.8,16,7.4,3.6,5.8,25,22.8,-10.6
Brooklyn Nets,4,0,4,0,48,105.8,36.3,91.3,39.7,15.5,46,33.7,17.8,24.5,72.4,9.3,35,44.3,25.8,14.5,5,4.5,5.5,21.3,22.5,-20.5
Indiana Pacers,4,0,4,0,48,100.8,36.5,80.3,45.5,12,32,37.5,15.8,20.3,77.8,5.8,30.8,36.5,22.5,15.3,9.3,5.5,4.3,23.3,15.8,-10.5
Philadelphia 76ers,4,0,4,0,48,100.5,33.3,84,39.6,8,30.3,26.4,26,32,81.3,12.3,33.8,46,17.5,12,5,4.5,5.5,22.3,24.3,-11.8
Milwaukee Bucks,15,10,5,0.667,48.7,112.8,39.8,88.3,45.1,12.8,38.1,33.6,20.4,28,72.9,10.1,41.8,51.9,25,13,6.7,6.4,4.7,21.8,23.3,8.8
Toronto Raptors,24,16,8,0.667,48.4,106.6,37.7,84.8,44.4,11.9,34.5,34.6,19.3,23.3,83,8.3,34,42.3,22.5,12.1,8,4.6,5,22.6,21.8,5.5
Golden State Warriors,22,14,8,0.636,48.5,114.1,41.1,86.1,47.7,12.2,32.7,37.2,19.8,24.3,81.3,10.1,33.2,43.3,28.4,14.9,7.4,5.7,3.9,23.2,22.3,3.4
Philadelphia 76ers,12,7,5,0.583,48,108.7,39.4,85.8,45.9,9.4,28.4,33.1,20.4,25.8,79,11.4,37.1,48.5,24.4,16.5,6.3,5.4,3.4,22.4,22.1,3
Boston Celtics,9,5,4,0.556,48,102.1,35.7,84.1,42.4,11.3,33,34.3,19.4,24.2,80.3,7.4,40.3,47.8,21.4,14.8,5.9,3.8,4.3,20.8,21,-1.4
Houston Rockets,11,6,5,0.545,48.5,108.5,37.2,83.8,44.4,15.6,42.7,36.6,18.5,24.3,76.4,9.6,33.3,42.9,18.3,15.8,8.5,5.1,4.6,21.6,21.5,3.2
